photo_id,scientificName,kingdom,phylum,class,order,family,genus,species,common_name,photo_url
22295,Steatoda grossa,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,grossa,False Black Widow,http://inaturalist-open-data.s3.amazonaws.com/photos/22295/medium.JPG
22296,Steatoda grossa,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,grossa,False Black Widow,http://inaturalist-open-data.s3.amazonaws.com/photos/22296/medium.jpg
22617,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/22617/medium.jpg
22704,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/22704/medium.jpg
54196,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/54196/medium.JPG
60963,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/60963/medium.JPG
60978,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/60978/medium.JPG
4745,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/4745/medium.jpg
4746,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/4746/medium.jpg
19363,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/19363/medium.jpg
20626,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/20626/medium.png
82557,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/82557/medium.jpg
90490,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/90490/medium.jpg
119308,Uroctonus mordax,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Uroctonus,mordax,Western Forest Scorpion,http://inaturalist-open-data.s3.amazonaws.com/photos/119308/medium.jpg
