category,species,count
Arachnida,abyssinicus,1
Arachnida,acalypha,3
Arachnida,accentuata,3
Arachnida,aceriscrumena,1
Arachnida,adansoni,1
Arachnida,aemula,1
Arachnida,aeneola,7
Arachnida,aetherea,5
Arachnida,albineus,2
Arachnida,americanum,3
Arachnida,anastera,3
Arachnida,angulatus,1
Arachnida,antipodiana,1
Arachnida,aperta,4
Arachnida,appensa,12
Arachnida,apricus,1
Arachnida,arenata,3
Arachnida,argentata,14
Arachnida,argyrobapta,7
Arachnida,arizonensis,4
Arachnida,arizonica,2
Arachnida,armada,1
Arachnida,asperata,4
Arachnida,atlanticus,2
Arachnida,audax,45
Arachnida,aurantia,60
Arachnida,aurantiaca,1
Arachnida,aurantius,12
Arachnida,australis,2
Arachnida,avellanae,1
Arachnida,avicularia,1
Arachnida,bennetti,6
Arachnida,bhamoensis,4
Arachnida,bicentenarius,2
Arachnida,bivittatus,4
Arachnida,blackwalli,6
Arachnida,borealis,3
Arachnida,boreus,2
Arachnida,brachytarsa,6
Arachnida,brevispina,7
Arachnida,bruennichi,3
Arachnida,calaceris,2
Arachnida,calcar,1
Arachnida,californicus,6
Arachnida,cancerides,1
Arachnida,cancriformis,16
Arachnida,canestrinii,1
Arachnida,canosus,2
Arachnida,capulatus,4
Arachnida,carolinensis,4
Arachnida,carolinianus,4
Arachnida,cashi,1
Arachnida,cavaticus,2
Arachnida,cavatus,2
Arachnida,celer,1
Arachnida,cerasicrumena,4
Arachnida,chalcodes,3
Arachnida,chrysops,3
Arachnida,cicatrosa,2
Arachnida,citricola,3
Arachnida,clarus,2
Arachnida,clavata,1
Arachnida,clavipes,42
Arachnida,comatus,2
Arachnida,conica,4
Arachnida,cornutus,5
Arachnida,costatus,3
Arachnida,crocata,7
Arachnida,crucifera,18
Arachnida,cruentata,1
Arachnida,cupreus,2
Arachnida,decorata,4
Arachnida,descripta,4
Arachnida,deserta,6
Arachnida,diadematus,54
Arachnida,diardi,13
Arachnida,dimidiata,8
Arachnida,diodia,1
Arachnida,dispar,5
Arachnida,displicata,7
Arachnida,domestica,3
Arachnida,domiciliorum,5
Arachnida,donensis,1
Arachnida,doriae,1
Arachnida,dorsata,1
Arachnida,dromedaria,1
Arachnida,duellica,1
Arachnida,durandi,1
