name,updated_name,dataset,image_size,image_size_rat,image_size_cat,param_count,size,architecture,technique,dataset-size,imagenet-zeroshot-val-top1,imagenetv2-zeroshot-val-top1,imagenets-zeroshot-val-top1,imagenetr-zeroshot-val-top1,imageneta-zeroshot-val-top1,imagenet-average-robustness,imagenet-effective-robustness,in100-zeroshot-val-top1,in100v2-zeroshot-val-top1,in100s-zeroshot-val-top1,in100r-zeroshot-val-top1,in100a-zeroshot-val-top1,in100-average-robustness,in100-effective-robustness,in100-dogs-zeroshot-val-top1,in100-dogs-v2-zeroshot-val-top1,in100-dogs-s-zeroshot-val-top1,in100-dogs-r-zeroshot-val-top1,in100-dogs-a-zeroshot-val-top1,in100-dogs-average-robustness,in100-dogs-effective-robustness
adv_inception_v3,adv_inception_v3,in1k,299,0.37375,M,23.83,S,Convolution,Conventional,1200000,0.793,0.677,0.281,0.401,0.11,0.367,0.463,0.8884,0.796,0.412158174,0.406279734,0.152404747,0.442,0.498,0.703,0.544,0.365354331,0.618132924,0.352272727,0.47,0.669
bat_resnext26ts,bat_resnext26ts,in1k,256,0.32,M,10.73,S,Convolution,Conventional,1200000,0.784,0.669,0.268,0.392,0.089,0.355,0.453,0.9478,0.883,0.444816054,0.417063114,0.267332917,0.503,0.531,0.8122,0.615,0.372244094,0.605455244,0.488636364,0.52,0.64
beit_base_patch16_224,beit_base_patch16_224.in22k_ft_in22k_in1k,in21k,224,0.28,S,86.53,M,ViT,Conventional,14200000,0.851,0.754,0.411,0.54,0.507,0.553,0.65,0.98,0.94,0.731,0.637,0.677,0.746,0.761,0.8516,0.708,0.488,0.753,0.693,0.661,0.776
beit_base_patch16_384,beit_base_patch16_384.in22k_ft_in22k_in1k,in21k,384,0.48,M,86.74,M,ViT,Conventional,14200000,0.866,0.77,0.504,0.66,0.659,0.648,0.748,0.982,0.948,0.753,0.662,0.802,0.791,0.805,0.868,0.742,0.499,0.769,0.886,0.724,0.834
beit_large_patch16_512,beit_large_patch16_512.in22k_ft_in22k_in1k,in21k,512,0.64,L,305.67,L,ViT,Conventional,14200000,0.884,0.799,0.577,0.788,0.817,0.745,0.843,0.986,0.958,0.815,0.755,0.915,0.861,0.873,0.893,0.781,0.578,0.846,0.932,0.784,0.878
botnet26t_256,botnet26t_256,in1k,256,0.32,M,12.49,S,ViT,Conventional,1200000,0.794,0.68,0.284,0.405,0.116,0.371,0.467,0.9526,0.895,0.42317529,0.409768474,0.297314179,0.506,0.531,0.8182,0.634,0.368897638,0.584325778,0.522727273,0.527,0.644
cait_m36_384,cait_m36_384,in1k,384,0.48,M,271.22,L,ViT,Conventional,1200000,0.858,0.761,0.456,0.591,0.578,0.597,0.696,0.979,0.944,0.638402518,0.590231526,0.72142411,0.724,0.74,0.88,0.759,0.528543307,0.792162889,0.897727273,0.744,0.845
cait_m48_448,cait_m48_448,in1k,448,0.56,L,356.46,L,ViT,Conventional,1200000,0.863,0.768,0.488,0.641,0.623,0.63,0.73,0.9808,0.946,0.638795987,0.575483666,0.773891318,0.734,0.748,0.882,0.761,0.541141732,0.808298118,0.886363636,0.749,0.849
cait_s24_224,cait_s24_224,in1k,224,0.28,S,46.92,S,ViT,Conventional,1200000,0.828,0.723,0.344,0.469,0.312,0.462,0.558,0.9706,0.927,0.568168404,0.510307644,0.516552155,0.631,0.65,0.8476,0.705,0.487401575,0.735689589,0.647727273,0.644,0.76
cait_s24_384,cait_s24_384,in1k,384,0.48,M,47.06,S,ViT,Conventional,1200000,0.851,0.752,0.41,0.536,0.497,0.549,0.645,0.9748,0.94,0.572890026,0.518395179,0.668332292,0.675,0.692,0.872,0.737,0.49488189,0.747983096,0.840909091,0.705,0.808
